DISTRICT_N,accred_status,perc_frl,perc_college,spending_per_stud,num_students,perc_na,perc_asian,perc_black,perc_pi,perc_hisp,perc_multi,perc_white,story
New Haven,Accredited,36.30,26.10,9934,489,,,,,4.10,3.90,91.80,
Normandy,Provisionally Accredited,98.80,23.80,13713,2987,0.20,,93.00,,2.50,2.50,1.70,
Northwest R-I,Accredited,39.60,24.30,9855,6030,0.20,0.60,1.10,0.10,3.30,3.10,91.60,
Orchard Farm R-V,Accredited,32.00,38.20,12841,1942,0.30,1.00,8.00,,7.70,4.70,78.20,
Parkway C-2,Accredited,18.50,67.90,12490,17525,0.30,13.30,15.70,0.00,5.30,5.80,59.60,
Pattonville R-III,Accredited,45.70,43.10,14040,6007,0.20,3.90,32.60,0.10,13.30,8.30,41.50,
Ritenour,Accredited,20.80,23.20,9690,6375,0.20,1.60,41.00,0.10,22.80,8.50,25.80,
Riverview Gardens,Provisionally Accredited,99.90,11.40,9207,5414,,0.30,97.50,,1.10,,1.00,
Rockwood R-VI,Accredited,13.30,73.40,10509,20998,0.20,9.00,7.90,0.10,3.70,3.40,75.70,
Silex R-I,Accredited,35.80,34.40,8342,422,,,,,,1.40,97.20,
Spring Bluff R-XV,Accredited,21.90,0.00,9754,196,,,,,,,98.00,
Saint Charles R-VI,Accredited,39.20,40.30,14499,4742,0.10,2.00,13.50,0.10,10.30,5.40,68.60,
Saint Clair R-XIII,Accredited,49.60,20.80,9869,2107,0.20,,1.20,,0.80,4.30,93.30,
Saint Louis City,Accredited,100.00,32.00,15562,19222,0.10,2.80,78.50,,5.70,,12.90,"Founded in 1838, the St. Louis Public School District now serves 22,972 children and the many families they represent in grade levels preschool through 12th grade. For the 2021 school year, the district comprises 74 public schools over 86.8 square miles. Minority enrollment is 87% of the student body, which is more than the Missouri public school average of 29%. The school district graduation rate of 78% has increased from 68% over the last five school years, and in the classroom, the student teacher ratio is 12:1. In June of 2007, the district lost accreditation due to poor standardized test scores, mismanagement of finances, declining attendance/graduation rates, and unstable leadership. After a rigorous ten years of growth, investment, and change, the district was able to regain full accreditation in January 2017. The district offers 30 specialty magnet schools, early childhood education, ESOL programs, and career and college readiness."
Strain-Japan R-XVI,Accredited,24.60,0.00,10826,58,,,,,,,98.30,
Sullivan C-2,Accredited,50.40,27.60,9851,2055,0.30,0.30,0.60,,3.60,1.00,94.00,
Sunrise R-IX,Accredited,47.10,0.00,8558,327,,,3.40,,4.00,,92.70,
Troy R-III,Accredited,33.70,29.60,9437,6330,0.10,0.50,2.20,,4.50,4.80,87.90,
Union R-XI,Accredited,45.80,22.40,9487,3177,0.20,0.50,1.70,,2.50,2.90,92.20,
University City,Accredited,100.00,33.00,15469,2508,,1.00,79.10,,4.60,4.00,11.20,
Valley Park,Accredited,40.70,40.50,12989,871,,3.60,20.30,,6.40,5.70,63.30,
Warren County R-III,Accredited,50.00,20.80,10545,3018,0.40,0.20,3.30,,5.60,5.60,84.90,
Washington,Accredited,30.80,27.90,11253,3923,0.20,0.60,0.50,,1.80,2.90,94.10,
Webster Groves,Accredited,13.90,71.00,12381,4484,0.20,1.40,12.00,,3.80,5.40,77.20,
Wentzville R-IV,Accredited,16.70,43.80,10488,17323,0.20,2.00,6.80,0.00,5.10,4.40,81.50,
Windsor C-1,Accredited,34.30,26.70,9322,2892,,0.40,2.40,,3.60,2.70,90.80,
Winfield R-IV,Accredited,45.10,21.60,9277,1521,,,1.20,,2.20,3.70,92.50,
Wright City R-II,Accredited,43.70,18.00,11243,1654,,,3.30,,11.90,5.90,78.70,
